name	type	x	y	z
S1	source	-44.8281639241533	90.65366822732926	-15.0698556999453
S2	source	-40.86677036838537	87.91198780189346	-1.88243080380915
S3	source	-37.87141412015665	85.65431155963898	11.39720236121456
S4	source	-34.19482392300448	83.77930989276474	24.21804457811101
S5	source	-27.86405653540789	79.92759460613884	35.81693564778354
S6	source	-19.82984394459827	76.51107478411495	44.4691151274425
S7	source	-51.92064231616664	78.32901532511828	-15.23588211083463
S8	source	-50.58162736550995	77.08063939974586	-1.311208411322835
S9	source	-47.53679612659701	74.78875947419388	12.19235534445058
S10	source	-43.06684357435589	72.15689524559458	25.21128896549451
S11	source	-36.61088020666612	68.69130045299001	37.2394162982978
S12	source	-28.5476148822349	64.14725864550604	47.63597698046656
S13	source	-58.60652646405005	65.89588780700984	-15.41060923164434
S14	source	-57.3945324834993	64.6295162237152	-1.304091190664573
S15	source	-54.59524506904506	62.4881538750565	12.21529389951712
S16	source	-49.70663612808035	59.64214969747147	25.02509104930894
S17	source	-44.4456622091548	56.97994905303359	37.77065336853705
S18	source	-36.60886961165905	52.51283740718079	48.57212058329588
S19	source	-64.2095976538583	53.04711202967464	-15.84003260224526
S20	source	-63.08480914771188	51.47345791463735	-1.869753590439567
S21	source	-60.4243746045217	49.48334519686586	11.80685753318406
S22	source	-56.55106052530453	46.92866499232188	24.99486447919526
S23	source	-50.89515852625662	43.9518541395608	37.5700967621577
S24	source	-43.49688753067957	40.23810126332796	48.67253361421152
S25	source	-68.96672284927969	39.78145842050718	-16.41789621170438
S26	source	-68.17440036227713	38.07077519893145	-2.639530713542548
S27	source	-65.90467049120845	36.04667853063243	11.01621766667712
S28	source	-61.52593443510717	33.36304366713617	24.12944614296245
S29	source	-56.30738395619347	30.56218273634155	36.7385976376426
S30	source	-48.60004155618051	27.02554096879586	47.9630686727585
S31	source	-72.85318505238384	26.23669577037531	-17.30114529233289
S32	source	-72.06934959075986	24.30569407532482	-3.778641116850651
S33	source	-70.30686710812012	22.15769636844565	9.837839332551036
S34	source	-65.83257563741964	19.51222346230898	22.9047106513237
S35	source	-61.1176011165068	16.93595511000871	35.74041911901853
S36	source	-53.92480621947995	13.59820060619901	47.36001830389045
S37	source	-74.79586669786049	12.30539999852149	-19.03221663766363
S38	source	-75.16615798419616	10.22256993204176	-5.555610000858836
S39	source	-72.76296020503392	7.873729354234122	7.955723887569862
S40	source	-69.41575909653724	5.526158061712098	21.34125731893289
S41	source	-65.57156094716792	3.119833452095977	34.50612590259026
S42	source	-58.73419331117713	0.115683382959036	46.48770427688163
S43	source	-73.97206356102085	-1.485214476647569	-21.47097087131613
S44	source	-76.19794191225179	-3.977185538584281	-7.944699898407134
S45	source	-74.15684776320477	-6.500436511654083	5.740780748156769
S46	source	-71.22402965519086	-8.89754592279092	19.08749590064387
S47	source	-67.8512717421107	-11.19068831312729	32.57364847060833
S48	source	-61.76307717945878	-13.41257701187002	44.88204655874609
S49	source	-73.23310560919768	-15.07837118009667	-24.26162222838639
S50	source	-74.3659906195798	-18.17857810561801	-10.82619520688069
S51	source	-72.56366668087298	-20.7590178480338	2.82611458011177
S52	source	-70.99624477711653	-23.24317193121487	16.40551688656207
S53	source	-67.49591772898835	-25.46954023325018	29.80733763997128
S54	source	-61.37689132919341	-27.39890445129556	42.29220446041565
S55	source	-70.68316786114845	-28.54894395995382	-27.46362470117911
S56	source	-70.80532413439531	-31.94643492445798	-14.21714427380593
S57	source	-69.41903173784567	-34.54370574673406	-0.6159761277139411
S58	source	-68.35276047825549	-37.22661256859567	13.1088883308364
S59	source	-64.95555241549266	-39.14044092093835	26.72632035323655
S60	source	-58.71955142503572	-40.65803609048877	39.32824837783515
S61	source	-64.73027202990377	-36.32014711097951	-44.79176506988043
S62	source	-66.76555881034901	-41.37644473189146	-31.72695913840345
S63	source	-66.45696858750463	-45.01106862087126	-18.15331235691163
S64	source	-65.07054052951634	-47.91045833370715	-4.506503803727314
S65	source	-63.44338431951341	-50.68308203901688	9.332062829346526
S66	source	-57.91225924883764	-47.10806489809136	-48.96209434323417
S67	source	-59.42107297981157	-52.60088536212579	-36.01676172449041
S68	source	-60.14823024274482	-57.20507359825246	-22.59002765093383
S69	source	-59.31036001600517	-60.60471482044922	-8.945805401855976
S70	source	-56.98403978140689	-62.72221102422024	4.631178137954437
S71	source	-51.52493310062655	-58.63557457524338	-53.77092164775229
S72	source	-51.06919974408061	-63.13266145092205	-40.50684038095764
S73	source	-51.07076049634512	-67.54948464067844	-27.10707592881777
S74	source	-49.93435367664495	-70.73748028870665	-13.5215760621471
S75	source	-47.16146318015792	-72.44719796395773	-0.08122259184151705
S76	source	-39.86720237410333	-65.68405810271838	-57.43811782573605
S77	source	-39.25355940157098	-70.12867292704276	-44.16269611773212
S78	source	-38.98530101677108	-74.47869989706105	-30.87473543706151
S79	source	-38.45641140347551	-78.28386124791102	-17.38015332486297
S80	source	-36.15912428012663	-79.76945502115606	-3.858495009301424
S81	source	-32.10575088575843	-78.38765978716174	10.02915604716821
S82	source	-26.69219823138918	-69.72717437815119	-60.10413728447413
S83	source	-26.24655854565658	-74.96294904985788	-47.04009821573417
