name	type	x	y	z
S1	source	-45.0581416283255	91.98670145256047	-8.718513431695069
S2	source	-41.79499795019791	89.56005547498623	4.565909825113192
S3	source	-38.87716277035989	87.86185015120904	17.70043081659668
S4	source	-37.26681943917404	87.71966782168624	31.44341567306023
S5	source	-28.90689383946897	83.17496969215732	41.75099775008917
S6	source	-21.1341300502369	79.90928311372564	50.81106581660887
S7	source	-53.40571439709812	80.34833540930869	-8.634254418122643
S8	source	-50.99521584353966	78.70949410741449	5.229741524600841
S9	source	-49.15113908767058	77.54695088012457	18.97078417279391
S10	source	-45.141872202595	75.69081538086212	32.13704616648728
S11	source	-38.5679202400255	72.63876124830259	44.31954399017255
S12	source	-30.94468476548329	68.57893244567985	55.23360205141284
S13	source	-59.24875391718178	67.27649037561486	-8.527711440691377
S14	source	-58.51715922840287	66.62935301567882	5.610591358437437
S15	source	-56.63439881310985	65.44803569245745	19.49240547272571
S16	source	-52.80958965304885	63.58030761284697	32.86536242409282
S17	source	-46.86492288050861	61.19157559585652	45.46859076001985
S18	source	-39.18438166468302	57.26727280886391	56.47439298027636
S19	source	-64.79497660429774	54.29094040721415	-8.439553530458014
S20	source	-64.344395376558	53.48197552767581	5.553209312381691
S21	source	-62.58769269989572	52.34038312378262	19.48103651466646
S22	source	-58.81711954654425	50.53815296647726	32.86309887652526
S23	source	-53.44558614864133	48.32969976986509	45.72832363621136
S24	source	-45.83578275157576	45.12731475935118	57.01688355741169
S25	source	-67.73434325070322	40.52209692839072	-8.930688054246714
S26	source	-68.47552362592917	39.81495963635044	5.062847442278378
S27	source	-67.02795638626914	38.56274765313587	18.90121765338811
S28	source	-63.41231045901483	36.77808823111168	32.36525336748213
S29	source	-57.95721905325059	34.60319132248906	45.24957319436667
S30	source	-51.273826554841	32.09195200672968	57.10447385205766
S31	source	-70.28377287537091	26.54566757455501	-9.901197952485793
S32	source	-71.34214693764009	25.57603586139122	4.137575132535257
S33	source	-69.44290828857334	24.16924134176655	17.89339677572206
S34	source	-66.5550319880339	22.6902793839717	31.45826857108767
S35	source	-61.6082747632183	20.61396544495879	44.37093469271479
S36	source	-55.13243289006635	18.24842317189443	56.47418347723338
S37	source	-73.63995139464362	12.73380745594642	-11.17102530847303
S38	source	-72.61367354275437	11.27157604212007	2.792310162777205
S39	source	-71.32770750610936	9.776506469746863	16.54436089264151
S40	source	-68.80779506800899	8.238437818414091	30.14486205723693
S41	source	-65.10005652281534	6.588965194209059	43.52767745726193
S42	source	-58.51677935126105	4.622469205601512	55.76521716362371
S43	source	-75.25351938404739	-1.432906826525918	-12.69313712455435
S44	source	-74.01423326815183	-3.162623646264639	1.131089595670672
S45	source	-72.16536304507609	-4.678268899956147	14.84174356806135
S46	source	-70.0722022377149	-6.188237139813503	28.56667868552447
S47	source	-67.15940590088647	-7.73229661206617	42.26801981852686
S48	source	-60.85798273749393	-9.211850437033617	54.62594862180574
S49	source	-73.01205154964212	-15.33988274833524	-14.87192552738921
S50	source	-72.75250385928224	-17.46759971176317	-0.9752283493004943
S51	source	-70.97646235202878	-19.05204305575458	12.72223062038228
S52	source	-68.98121534076775	-20.65306947338161	26.42661397236634
S53	source	-65.95769510290098	-22.09159970735714	40.08946049506855
S54	source	-60.09186048569396	-23.21136141286958	52.81608622197503
S55	source	-70.57613034610407	-29.28177511058379	-17.27638673126615
S56	source	-69.61698004874691	-31.47592722284956	-3.426481751376659
S57	source	-67.62371513204086	-33.18085122581665	10.17466015172765
S58	source	-66.19650465919163	-34.76571658917546	24.01845334483903
S59	source	-63.37764648476135	-35.91577790207139	37.75743511781031
S60	source	-57.38081842249633	-36.74235584721924	50.44780447308899
S61	source	-65.7383195584171	-39.89796862801306	-33.5626489316123
S62	source	-66.43516019811716	-42.87754186018374	-20.12084426627544
S63	source	-65.47080752981915	-45.21329161951288	-6.273868406991077
S64	source	-63.49598738504763	-46.94553796788756	7.527683055587834
S65	source	-61.81726173240196	-48.5248857125253	21.28355933675594
S66	source	-58.4847030013504	-50.74623690395809	-36.74901356195213
S67	source	-58.77545209163645	-54.43202283847492	-23.30471385780606
S68	source	-59.00700799597672	-58.01918914155377	-9.605065197469468
S69	source	-57.53161090324964	-60.04342206438195	4.247542059363921
S70	source	-55.00001967012699	-61.05073922516666	17.77121422876093
S71	source	-49.5461536465764	-61.03590837162573	-40.04088003005808
S72	source	-49.37412019562111	-65.10651287876259	-26.65767065523301
S73	source	-48.88724046176791	-68.05271748035472	-13.15287027815345
S74	source	-47.54232570545223	-69.84864010984457	0.5630794402147818
S75	source	-44.650362361779	-70.13277248473483	14.06919218211939
S76	source	-37.85549159466145	-68.39084895869578	-43.09941424279899
S77	source	-37.84160969800973	-72.82465816187128	-29.97407804481759
S78	source	-37.54796775734476	-76.51884757076837	-16.49017218165035
S79	source	-36.23419994842408	-78.16591112958756	-2.715503647405844
S80	source	-33.8118391974799	-77.87448283115491	11.14797775687109
S81	source	-30.21094495527824	-76.91727238577475	24.8982968108677
S82	source	-24.95780354930493	-73.23188011968846	-45.8360664487308
S83	source	-24.79544620196988	-78.42593293760883	-32.73224930672073
S84	source	-24.60542051498278	-82.49099044573123	-19.31939210556496
S85	source	-23.83928976521716	-85.14957247334812	-5.908408828166593
S86	source	-22.12152920785285	-84.79028596717193	8.200009691648116
S87	source	-18.39605771649636	-82.20908038999617	22.0856874507476
S88	source	-11.07253010533015	-76.17333235344405	-47.62949970102771
S89	source	-10.96029296137984	-82.06601773602075	-34.97517984792707
S90	source	-10.52260055855847	-85.73573738897363	-21.47403392694789
S91	source	-9.858142987879036	-87.12349242218767	-7.783401417198539
S92	source	-8.834035528093336	-86.80511159194546	6.052855965961108
S93	source	-7.041228790568689	-84.08358246497595	20.59574592491261
S94	source	3.245857567736835	-75.60325044316532	-48.29957730249006
S95	source	3.644996041744898	-81.62400328797467	-35.59063114325259
S96	source	3.970037633638854	-85.99901240886673	-22.33841941239964
S97	source	4.288374585162654	-87.07929407335173	-8.68649160263962
S98	source	4.37398060944638	-86.85655777596075	4.613265553602043
S99	source	4.474406476039802	-84.43429150322395	19.51380289087021
S100	source	17.53001691629263	-74.39230035814259	-48.24254021576944
S101	source	17.98057868323935	-79.41956185579991	-35.13372646821456
S102	source	18.35867993689677	-84.1118916623595	-22.07441606122617
S103	source	18.40414482669949	-85.87889150359406	-8.317814631945009
S104	source	18.13669820214292	-86.77887122707766	5.675916212267222
S105	source	16.09520662973854	-83.71199457909277	19.62846610287101
S106	source	31.40694892064102	-70.7585210628594	-47.02112097638516
S107	source	31.54301628328894	-74.88447460347557	-33.77104228256535
S108	source	31.88902393421605	-79.04133431828711	-20.38491775185855
S109	source	31.77749086875384	-81.26405030861238	-6.611812580270939
S110	source	30.81932137623232	-81.98791881167948	7.369802715363146
S111	source	27.50720944824342	-79.4417196610917	21.67196664183189
S112	source	44.16140138125655	-64.96974451835776	-45.02358210236227
S113	source	44.41520504569471	-68.68945055170281	-31.55906811466953
S114	source	44.42056719579745	-71.70875294808791	-17.96046013916365
S115	source	43.51073118753919	-73.25693419536125	-4.162645114761278
S116	source	41.57362935719522	-74.48327511137701	9.415829457418708
S117	source	38.66368314882983	-73.08541745419529	23.83423026703114
S118	source	56.00195232253893	-56.95832404604516	-42.45437641961234
S119	source	55.40320365111322	-59.55894467981709	-28.84795338242881
S120	source	55.6008733531373	-62.71655716239351	-15.19495881614555
S121	source	53.77966575185131	-63.68547832487555	-1.414994555792338
S122	source	52.61760151449435	-66.12301043524963	12.25397881942486
S123	source	63.21641962702142	-44.76279980545621	-39.37295944590175
S124	source	63.70966394682952	-48.09577827834237	-25.78046740981917
S125	source	63.61363669967422	-50.73534540962121	-11.96013175638635
S126	source	62.59335888390483	-52.72031128046109	1.838694557752314
S127	source	60.80875465764822	-54.2747532631865	15.7176444883917
S128	source	69.53753530114686	-32.13321282698404	-36.58317655165973
S129	source	70.15636634930672	-35.38535696526985	-22.87279223780575
S130	source	69.51087475682738	-37.64419185124681	-9.01372962314808
S131	source	67.66137217595767	-39.36974821709742	4.870876272422147
S132	source	66.49180561448954	-41.23341470574238	18.72458269629624
S133	source	74.48496806682802	-21.75959435874415	-20.34272796465835
S134	source	73.54238107817082	-24.11193930811814	-6.215491437112757
S135	source	72.35932268515371	-25.82976962412766	7.495440310671102
S136	source	71.05273684720248	-27.47786077347118	21.26457994479252
S137	source	69.36569586202617	-29.20825684662016	35.23193490221639
S138	source	63.34710666912452	-29.79594672060201	48.02596665255186
S139	source	79.7440503483157	-8.557872974819325	-17.5106409507945
S140	source	76.9342640387093	-10.20033135011442	-3.743025240714926
S141	source	76.26092336031169	-12.08804729186321	10.11937204564462
S142	source	74.86760354356966	-13.73195746329852	23.83764731738144
S143	source	72.37219601559359	-15.39700814074413	37.60704255892281
S144	source	67.06644524774741	-16.5905925544444	50.68089366693687
S145	source	78.9056150906885	5.592645705708255	-15.54465958030028
S146	source	78.37714121960255	4.056441738051465	-1.377565305139552
S147	source	78.16464687429033	2.303196844401985	12.48642982659068
S148	source	76.21431433145958	0.6233684642851455	26.28288974120974
S149	source	72.74963610346352	-1.175079435105773	39.73496999929864
S150	source	66.90324369429629	-3.175241122873379	52.4652753333417
S151	source	76.15096086628409	19.62506769857559	-13.40298429715324
S152	source	77.7613607930505	18.31410815127248	0.5937424926404656
S153	source	77.48641954797611	16.73832246952928	14.44070607191094
S154	source	75.34833818454563	15.07134264482758	28.11357116018798
S155	source	70.97967235078481	13.02902681785998	41.32953190420318
S156	source	64.14192280086921	10.63376818945472	53.5519740664357
S157	source	74.9657236309822	33.79169895176794	-11.43824191096998
S158	source	76.50207742195387	32.63887463445245	2.30703917013803
S159	source	75.99367781480498	31.2636974542213	16.30222372010691
S160	source	72.89007880721556	29.35449620887023	29.84039485684555
S161	source	67.83006478804404	26.94037665605991	42.59523654077152
S162	source	61.18861613386385	24.33758504695169	54.75612679061458
S163	source	72.51669476308466	47.70802847059925	-10.00784243118672
S164	source	72.91327502032364	46.56547418606175	3.613635828173609
S165	source	72.40505510943969	45.28380573974925	17.6220170497185
S166	source	69.21323720956971	43.50951913495828	31.11787075342155
S167	source	63.98326401831007	40.66191502607893	43.82379264856819
S168	source	56.66434964135621	37.24273838444856	55.5811573727125
S169	source	68.28337727815277	60.99905959486522	-9.593399138024091
S170	source	68.05693339849275	60.06898434758864	4.368694581993764
S171	source	66.68169853201248	58.65483866580834	18.39843954539201
S172	source	63.72636867554961	56.74160730989882	31.95078622073608
S173	source	58.58146691947092	54.00408222895373	44.73688382221614
S174	source	51.42270444046595	50.03449346233421	56.40845446255937
S175	source	63.15394659568303	73.99861270318755	-9.379117962136075
S176	source	61.31655956631915	72.52929091760154	4.641067671750695
S177	source	59.65313666697229	71.24121173270871	18.48323981988774
S178	source	56.92846831589708	69.70128292277214	32.15389526565016
S179	source	50.90776968253673	65.85979586628461	44.57405320745219
S180	source	44.48135416714599	62.29054993751863	56.33281133368398
S181	source	56.13977010161697	86.23475136855312	-9.156448557349968
S182	source	53.47728298634527	84.27177299343973	4.546843186119931
S183	source	51.22378845665433	82.69671257765589	18.15878901021505
S184	source	47.32632613072061	80.14283348664071	31.30759302270098
S185	source	42.02876524749914	76.91432395143897	43.85511992966346
