name	type	x	y	z
S1	source	-59.12979783736283	89.43799749261589	-16.85976835954869
S2	source	-57.01931250940139	87.47261885179023	-3.536267446166423
S3	source	-54.20112389297535	85.52627295726245	9.484446632812364
S4	source	-50.32743087680066	83.51001835980118	21.93195421821241
S5	source	-43.34159642178872	80.17260102293962	32.92599698795883
S6	source	-34.20823924378173	76.93128072480279	40.71987427167206
S7	source	-67.05223897736302	77.46664320545689	-17.28625413295755
S8	source	-65.9745939020809	76.14301334850717	-3.322355938208302
S9	source	-63.62227947409218	74.35290968494191	10.35925836485396
S10	source	-58.80361777999217	71.76477201954147	23.12139256830348
S11	source	-51.42455843054364	68.58261446005501	34.68358651497657
S12	source	-41.9346335813629	63.96329553144141	44.278845177219
S13	source	-73.51780568815184	65.17342575358157	-17.14480842896823
S14	source	-72.54009850200359	63.64657774870444	-3.374900550161253
S15	source	-69.84833654661243	61.54430553417969	10.20921542521425
S16	source	-65.68196213044727	59.3291471061595	23.45464782595758
S17	source	-57.86355218842905	55.92778664912898	34.75525316716116
S18	source	-48.7170950093851	51.74567462868791	44.63838236547969
S19	source	-78.45020729114418	51.91230214689284	-17.82601773379058
S20	source	-77.83934257401837	50.24836580179721	-4.038437387778793
S21	source	-75.59732993621959	48.32298632104403	9.757135142548696
S22	source	-70.52081814222501	45.76261981108201	22.57755980452046
S23	source	-63.21341825818069	42.80090008476098	34.33061671778868
S24	source	-54.36105010882898	39.40301178453034	44.63243237688098
S25	source	-82.2705725990144	38.39636684368408	-18.82295129098249
S26	source	-81.81715400635387	36.51050122280325	-5.027609431245606
S27	source	-79.17435165392502	34.28277870553899	8.447476010103907
S28	source	-73.65198645778848	31.71997900237608	21.07144110698513
S29	source	-67.18056791073641	29.24212576468812	32.97716187199678
S30	source	-58.24098537382886	26.125203118494	43.67203202570595
S31	source	-81.89379637515134	24.06577720789116	-20.90668022865179
S32	source	-83.71956375767176	22.13490949170669	-6.899550544446566
S33	source	-81.11650851169207	20.04992575959494	6.682457204545829
S34	source	-76.21918773258379	17.59327588521775	19.43545777432911
S35	source	-69.35490548781327	15.09433683132047	31.34393458237999
S36	source	-61.18437731862645	12.41203739488753	42.4498445131694
S37	source	-81.83619860709911	10.15182981680573	-23.13839690551323
S38	source	-82.81586475959936	7.84993016820506	-9.24752670960644
S39	source	-82.37619513852032	5.546218819874774	4.484198598762505
S40	source	-78.13689866426088	3.246567290927421	17.70462048365302
S41	source	-72.11430588666168	0.993460624807939	30.18838535528973
S42	source	-64.09074864790777	-1.169952660877615	41.11415842470962
S43	source	-82.24782263253594	-3.754665394249541	-25.53062273923655
S44	source	-82.83085879935075	-6.380439867612575	-11.6955424453043
S45	source	-82.26374742212039	-8.819242597071069	2.034602293108613
S46	source	-78.47863672238117	-11.03187465960723	15.3743916327038
S47	source	-72.97286408634898	-13.11080961725798	28.26391333861813
S48	source	-65.54399630446879	-14.99715040789639	39.93491441377326
S49	source	-79.77297387900296	-17.24858664398697	-28.3572747864211
S50	source	-80.86794595507732	-20.35262104548606	-14.59228217950634
S51	source	-79.67200055300962	-22.88154486684108	-0.9989155506152844
S52	source	-76.64072296730723	-25.09295953715442	12.52559801996829
S53	source	-72.05884698435518	-27.15544843474265	25.69545967285053
